DISTRITO;TIPO_DE_DENUNCIA;SITUACION_DENUNCIA;TIPO;SUBTIPO;MODALIDAD;FECHA_HECHO;DIASEM_HECHO;MES_HECHO;PERIODO_HECHO;HORA_HECHO;DESCRIPCION;EDAD_PERSONA;SEXO;ESTADO_CIVIL;GRADO_INSTRUCCION;OCUPACION;PAIS_NATAL;LONGITUD;LATITUD
BELLAVISTA;ACTA DE DENUNCIA VERBAL;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;18/02/2024;1;2;2024;20;BELLAVISTA;23;FEMENINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.10858290;-12.05373590
CARMEN DE LA LEGUA REYNOSO;DENUNCIA;PENDIENTE;PATRIMONIO (DELITO);HURTO;HURTO AGRAVADO DURANTE LA NOCHE;03/02/2024;7;2;2024;12;CARMEN DE LA LEGUA;29;FEMENINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.09717080;-12.04108390
CARMEN DE LA LEGUA REYNOSO;DENUNCIA;RESUELTA;PATRIMONIO (DELITO);ROBO;ROBO AGRAVADO DURANTE LA NOCHE O EN LUGAR DESOLADO;15/02/2024;5;2;2024;22;CARMEN DE LA LEGUA;25;FEMENINO;SOLTERO(A);NO INDICA;EJECUTIVA;PERU;-77.09603479;-12.04302185
BELLAVISTA;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;09/02/2024;6;2;2024;14;BELLAVISTA;22;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.13119820;-12.06099680
CARMEN DE LA LEGUA REYNOSO;ACTA DE INTERVENCION;RESUELTA;PATRIMONIO (DELITO);ESTAFA Y OTRAS DEFRAUDACIONES;ESTAFA;25/01/2024;5;1;2024;21;CARMEN DE LA LEGUA;47;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.09605430;-12.04195870
BELLAVISTA;ACTA DE INTERVENCION;RESUELTA;PATRIMONIO (DELITO);RECEPTACION;RECEPTACION;22/02/2024;5;2;2024;10;BELLAVISTA;43;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.10538056;-12.05767589
CARMEN DE LA LEGUA REYNOSO;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;06/02/2024;3;2;2024;11;CARMEN DE LA LEGUA;31;MASCULINO;SOLTERO(A);NO INDICA;PESCADOR;PERU;-77.09001940;-12.04066970
BELLAVISTA;ACTA DE INTERVENCION;RESUELTA;PATRIMONIO (DELITO);RECEPTACION;RECEPTACION;20/02/2024;3;2;2024;22;BELLAVISTA;44;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.13006094;-12.06057712
CARMEN DE LA LEGUA REYNOSO;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;09/02/2024;6;2;2024;23;CARMEN DE LA LEGUA;38;MASCULINO;SOLTERO(A);NO INDICA;COMERCIANTE;PERU;-77.09144060;-12.04220790
BELLAVISTA;DENUNCIA;RESUELTA;PATRIMONIO (DELITO);EXTORSION;EXTORSION;13/02/2024;3;2;2024;6;DEPINCRI BELLAVISTA/LA PERLA/C.DE LA LEGUA;46;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.11683492;-12.06196268
CARMEN DE LA LEGUA REYNOSO;DENUNCIA;RESUELTA;PATRIMONIO (DELITO);HURTO;HURTO;07/02/2024;4;2;2024;11;CARMEN DE LA LEGUA;44;FEMENINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.08463420;-12.04234450
BELLAVISTA;ACTA DE INTERVENCION;RESUELTA;SEGURIDAD PUBLICA (DELITO);PELIGRO COMUN;CONDUCCION EN ESTADO DE EBRIEDAD O DROGADICCION;10/02/2024;7;2;2024;23;CIUDAD DEL PESCADOR;56;MASCULINO;CASADO(A);NO INDICA;NO INDICA;PERU;-77.09864723;-12.06251639
